"","ID","step","angle","TimeNum","locType","time","mu.x","nu.x","mu.y","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y","Bottom.Temp","Exposure","Location","Year","TSR","HoD"
"14029","53273",1.99896328492609,0.976222414091308,418070.516666667,"p",2017-09-10 14:31:00,1143549.24805224,-2.01832046300094,5065749.98576237,-6.47684273279026,0.634287001285696,11.4840027864852,0.634287001285696,11.4840027864852,6.78403340769091,1143549.24805224,5065749.98576237,-0.78,"Post","Carson","2017",127.85,22
"14230","53273",0.709649537234162,-0.0468969933981589,418071.016666667,"p",2017-09-10 15:01:00,1143551.11013214,5.87214967485883,5065749.2587736,2.59803227332373,0.67032827778634,12.3444420692067,0.67032827778634,12.3444420692067,6.42120810262183,1143551.11013214,5065749.2587736,-0.78,"Post","Carson","2017",127.85,22
"14531","53273",0.161934240539827,-3.03632644285198,418071.516666667,"p",2017-09-10 15:31:00,1143551.75836098,1.5220383075493,5065748.96997984,-0.889348669195947,1.30778438589853,12.5073470408396,1.30778438589853,12.5073470408396,1.76282207413231,1143551.75836098,5065748.96997984,-0.771818181818182,"Post","Carson","2017",128.85,23
"14930","53273",0.576857632398871,-0.212077017738074,418072.016666667,"p",2017-09-10 16:01:00,1143551.60433686,-1.5026334044098,5065749.01997253,0.135159339878012,0.98420018288964,10.9465451170678,0.98420018288964,10.9465451170678,1.50869983601923,1143551.60433686,5065749.01997253,-0.76,"Post","Carson","2017",129.85,0
"15231","53273",1.49294018555932,0.0744903586125072,418072.516666667,"p",2017-09-10 16:31:00,1143551.10543617,-1.2214586487586,5065749.30956333,1.38192162946165,0.735384253298913,11.1719984783386,0.735384253298913,11.1719984783386,1.8443613042463,1143551.10543617,5065749.30956333,-0.76,"Post","Carson","2017",129.85,0
"15730","53273",0.472803435324135,-1.45727761034175,418073.016666667,"p",2017-09-10 17:01:00,1143549.76205636,-4.72848501616067,5065749.96087053,1.15690234450354,0.148256534425974,5.44579378970596,0.148256534425974,5.44579378970596,4.86795579096336,1143549.76205636,5065749.96087053,-0.76,"Post","Carson","2017",129.85,0
"16139","53273",0.469387842044824,-1.4889902459883,418073.516666667,"p",2017-09-10 17:31:00,1143549.91880149,4.49223464649251,5065750.40693561,-1.48396274363441,0.610606256109451,10.4944537733033,0.610606256109451,10.4944537733033,4.73099540727347,1143549.91880149,5065750.40693561,-0.76,"Post","Carson","2017",129.85,0
"16629","53273",1.77681938059789,2.0850050693269,418074.016666667,"p",2017-09-10 18:01:00,1143550.37287903,-5.14592760988479,5065750.28803006,1.58653592130192,0.520086531261866,8.60857595656796,0.520086531261866,8.60857595656796,5.38494820734201,1143550.37287903,5065750.28803006,-0.76,"Post","Carson","2017",129.85,0
"16931","53273",1.7076457560127,-2.5800660225178,418074.516666667,"p",2017-09-10 18:31:00,1143549.91936075,0.925301155752842,5065752.00599638,3.96729457446286,1.09905868815091,11.9599849498233,1.09905868815091,11.9599849498233,4.0737707924477,1143549.91936075,5065752.00599638,-0.72,"Post","Carson","2017",132.35,2
"17228","53273",0.469165043540442,-2.85165742015273,418075.016666667,"p",2017-09-10 19:01:00,1143551.16746098,2.80050368734498,5065750.84053516,-3.63132818369527,0.490876766612558,12.1771117265138,0.490876766612558,12.1771117265138,4.5857785904394,1143551.16746098,5065750.84053516,-0.72,"Post","Carson","2017",132.35,2
"17831","53273",0.66455121089994,1.44276822748253,418075.516666667,"p",2017-09-10 19:31:00,1143550.74732241,-1.09186728167285,5065751.04933991,-0.702672106169888,0.0986914383318026,6.48801587544297,0.0986914383318026,6.48801587544297,1.29843068724399,1143550.74732241,5065751.04933991,-0.72,"Post","Carson","2017",133.85,4
"18141","53273",0.128890856837576,2.7919731291518,418076.016666667,"p",2017-09-10 20:01:00,1143550.37799801,-0.329075077232598,5065750.49686565,-0.54362042523812,0.31648064711764,11.2374107337945,0.31648064711764,11.2374107337945,0.635463274463375,1143550.37799801,5065750.49686565,-0.72,"Post","Carson","2017",133.85,4
"18531","53273",0.828155178755015,1.70635117731963,418076.516666667,"p",2017-09-10 20:31:00,1143550.482,-0.61977785539621,5065750.573,1.03767281050328,0,11.1425015144715,0,11.1425015144715,1.20867259905125,1143550.482,5065750.573,-0.72,"Post","Carson","2017",133.85,4
"19030","53273",1.75267139952719,0.146119398769575,418077.016666667,"p",2017-09-10 21:01:00,1143549.907,-1.48268702121052,5065751.169,0.878796133746529,0,8.389163247905,0,8.389163247905,1.7235554669212,1143549.907,5065751.169,-0.72,"Post","Carson","2017",133.85,4
"19729","53273",1.32991479881811,-0.372163217620618,418077.516666667,"p",2017-09-10 21:31:00,1143548.51941074,-6.79424993117141,5065752.23972549,4.17736913050756,0.3118653555623,7.63608800368356,0.3118653555623,7.63608800368356,7.97572849210279,1143548.51941074,5065752.23972549,-0.74,"Post","Carson","2017",136.35,6
"20322","53273",1.19173035370182,0.628283124211011,418078.016666667,"p",2017-09-10 22:01:00,1143547.83403132,-3.04523242222761,5065753.3794309,0.953036449835879,0.147444904964532,5.4408703347902,0.147444904964532,5.4408703347902,3.19088059634045,1143547.83403132,5065753.3794309,-0.74,"Post","Carson","2017",136.35,6
"20821","53273",3.76683654964358,-0.298065522467966,418078.516666667,"p",2017-09-10 22:31:00,1143546.73688163,-0.45530669230102,5065753.84470909,0.235663999543572,0.434936777014775,9.08018612144046,0.434936777014775,9.08018612144046,0.512680899522275,1143546.73688163,5065753.84470909,-0.74,"Post","Carson","2017",136.35,6
"210221","53273",4.74856053474865,-0.00291056988360161,418079.016666667,"p",2017-09-10 23:01:00,1143543.85379868,-7.22792057498474,5065756.26893892,6.11218420099574,3.22609826260763,14.8963894954449,3.22609826260763,14.8963894954449,9.46581383427699,1143543.85379868,5065756.26893892,-0.72,"Post","Carson","2017",137.85,8
"211261","53273",4.02276691138641,-0.00979591755606979,418079.516666667,"p",2017-09-10 23:31:00,1143540.2282284,-7.228817310944,5065759.3355441,6.11836328434845,3.02580898273503,14.9093383488336,3.02580898273503,14.9093383488336,9.47048937459236,1143540.2282284,5065759.3355441,-0.72,"Post","Carson","2017",137.85,8
"213221","53273",6.70400771179057,0.407263287450367,418080.016666667,"p",2017-09-11 00:01:00,1143537.18240399,-3.5967524614717,5065761.96339632,2.78389684837309,0.521708730998438,9.218854592627,0.521708730998438,9.218854592627,4.54826449664972,1143537.18240399,5065761.96339632,-0.72,"Post","Carson","2017",137.85,8
"21622","53273",2.78627530481818,-0.0799212511701421,418080.516666667,"p",2017-09-11 00:31:00,1143530.787,-7.94510696839653,5065763.974,3.0664287521157,0,9.11807764827653,0,9.11807764827653,8.51632021656448,1143530.787,5065763.974,-0.72,"Post","Carson","2017",137.85,8
"221261","53273",1.25757842666984,2.12848373597789,418081.016666667,"p",2017-09-11 01:01:00,1143528.20418275,-1.43933163590524,5065765.01917229,-4.01779246074093,0.373737876057538,8.26929984944312,0.373737876057538,8.26929984944312,4.26782518570106,1143528.20418275,5065765.01917229,-0.72,"Post","Carson","2017",137.85,8
"22522","53273",0.402052546644893,0.453760355827395,418081.516666667,"p",2017-09-11 01:31:00,1143528.42086722,1.16086190207567,5065763.7804022,-0.942948793878931,0.455400922265206,8.5447557015985,0.455400922265206,8.5447557015985,1.49557774240207,1143528.42086722,5065763.7804022,-0.66,"Post","Carson","2017",139.35,9
"22922","53273",0.35365329913142,2.45939413574504,418082.016666667,"p",2017-09-11 02:01:00,1143528.65673508,-0.904789104812626,5065763.45480643,0.605142594414332,0.662744294581251,11.3729688296416,0.662744294581251,11.3729688296416,1.08850396589178,1143528.65673508,5065763.45480643,-0.66,"Post","Carson","2017",139.35,9
"234221","53273",6.13437459142977,-1.16491139042842,418082.516666667,"p",2017-09-11 02:31:00,1143528.67627192,2.3804337653951,5065763.80791968,2.0953092088365,0.217853161556127,7.61339805868575,0.217853161556127,7.61339805868575,3.17124354032738,1143528.67627192,5065763.80791968,-0.66,"Post","Carson","2017",139.35,9
"24022","53273",4.55651702891728,2.44179911756967,418083.016666667,"p",2017-09-11 03:01:00,1143534.43744365,-15.0505379009898,5065765.91492037,4.48263042616272,0.255460368746309,8.69389613464527,0.255460368746309,8.69389613464527,15.7039060951946,1143534.43744365,5065765.91492037,-0.66,"Post","Carson","2017",139.35,9
"24322","53273",3.11058993894372,0.76913408679861,418083.516666667,"p",2017-09-11 03:31:00,1143530.1558956,-23.1001826673055,5065767.47382823,-5.45952793059331,0.99270337966585,10.6851897503039,0.99270337966585,10.6851897503039,23.736572719915,1143530.1558956,5065767.47382823,-0.545186074352941,"Post","Carson","2017",141.85,12
"24721","53273",1.70746986520707,1.35230883308275,418084.016666667,"p",2017-09-11 04:01:00,1143527.31559254,3.87944719128902,5065766.20558209,-3.30025427216553,0.339145986265502,11.0049193545432,0.339145986265502,11.0049193545432,5.0933082344334,1143527.31559254,5065766.20558209,-0.551020408,"Post","Carson","2017",142.35,12
"25223","53273",1.79435564826127,-0.172132035779011,418084.516666667,"p",2017-09-11 04:31:00,1143527.6572689,0.356952816999359,5065764.53264736,-4.79394254509759,0.301014949794857,7.18686997238714,0.301014949794857,7.18686997238714,4.80721337567416,1143527.6572689,5065764.53264736,-0.530612245,"Post","Carson","2017",142.85,13
"25522","53273",0.357766096938281,-0.120978403732222,418085.016666667,"p",2017-09-11 05:01:00,1143527.70989861,0.074139475671204,5065762.73906371,-2.96447023783227,0.939882971438466,12.0092880721548,0.939882971438466,12.0092880721548,2.96539718298344,1143527.70989861,5065762.73906371,-0.530612245,"Post","Carson","2017",142.85,13
"25920","53273",0.868985703386121,-2.44469265084534,418085.516666667,"p",2017-09-11 05:31:00,1143527.67715754,-1.50525652240951,5065762.38279892,0.798601524032074,0.694024495244944,10.1183397847671,0.694024495244944,10.1183397847671,1.70398403526639,1143527.67715754,5065762.38279892,-0.530612245,"Post","Carson","2017",142.85,13
"26223","53273",4.04321702734136,0.0111061802810211,418086.016666667,"p",2017-09-11 06:01:00,1143527.18272811,-1.74076876488355,5065763.09741468,2.26484584133011,0.164833249073116,10.7668937024566,0.164833249073116,10.7668937024566,2.85653681540856,1143527.18272811,5065763.09741468,-0.530612245,"Post","Carson","2017",142.85,13
"26621","53273",1.42657358050692,-1.69656999877403,418086.516666667,"p",2017-09-11 06:31:00,1143524.84546164,-6.478078066058,5065766.3966251,8.18218270225268,0.496427235352776,12.3012040061126,0.496427235352776,12.3012040061126,10.4361683199815,1143524.84546164,5065766.3966251,-0.530612245,"Post","Carson","2017",142.85,13
"27021","53273",0.686572845204156,-2.63086154422473,418087.016666667,"p",2017-09-11 07:01:00,1143526.10377871,-2.6375190780316,5065767.06874884,0.996796489424465,0.987025835528128,11.1283799360015,0.987025835528128,11.1283799360015,2.81959396514987,1143526.10377871,5065767.06874884,-0.530612245,"Post","Carson","2017",142.85,13
"272241","53273",1.99079392110045,1.15851661158195,418087.516666667,"p",2017-09-11 07:31:00,1143525.73358482,1.94739942453888,5065766.4905285,-3.23509157376966,0.88117535144828,12.5791887655763,0.88117535144828,12.5791887655763,3.77600079573215,1143525.73358482,5065766.4905285,-0.530612245,"Post","Carson","2017",142.85,13
"276221","53273",0.837844767474256,2.76426583096639,418088.016666667,"p",2017-09-11 08:01:00,1143526.83959706,-0.947466020223485,5065764.83523477,1.32330214240765,0.111669154201149,6.49499345650171,0.111669154201149,6.49499345650171,1.62751971403692,1143526.83959706,5065764.83523477,-0.530612245,"Post","Carson","2017",142.85,13
